month,n,share_ka,cov_unw,cov_mondrian,se
2017-01,45722,0.016119154892611873,,,
2017-02,43875,0.015794871794871795,,,
2017-03,52118,0.015867838366783068,,,
2017-04,48413,0.0161939974800157,,,
2017-05,50766,0.01747232399637553,,,
2017-06,46333,0.016856236375801265,,,
2017-07,44111,0.017773344517240598,,,
2017-08,45704,0.017613338001050236,,,
2017-09,47944,0.017040714166527617,,,
2017-10,52687,0.016702412359785146,,,
2017-11,49541,0.016511576270160068,,,
2017-12,51613,0.016119969775056673,,,
2018-01,44543,0.015266147318321622,,,
2018-02,44796,0.012969908027502456,,,
2018-03,50844,0.014751003068208639,,,
2018-04,47815,0.013886855589250235,,,
2018-05,52029,0.016125622249130292,,,
2018-06,46732,0.01589916973380125,,,
2018-07,44654,0.01742285125632642,,,
2018-08,49253,0.014496578888595619,,,
2018-09,48601,0.013991481656756033,,,
2018-10,55573,0.013207852734241448,,,
2018-11,50342,0.013944618807357673,,,
2018-12,51110,0.013226374486401878,,,
2019-01,45836,0.013111964394798848,,,
2019-02,45427,0.012679683888436393,,,
2019-03,51430,0.014913474625704842,,,
2019-04,52507,0.014512350734187822,,,
2019-05,52183,0.014104210183393058,,,
2019-06,47864,0.01481280294166806,,,
2019-07,46577,0.01708998003306353,,,
2019-08,51469,0.01505760749188832,,,
2019-09,50451,0.014608233731739707,,,
2019-10,55658,0.01408602536921916,,,
2019-11,52058,0.013619424488070998,,,
2019-12,52051,0.014793183608384084,,,
2020-01,48896,0.012986747382198953,,,
2020-02,48553,0.01447902292340329,,,
2020-03,40651,0.015817569063491674,,,
2020-04,26183,0.019860214643089028,,,
2020-05,34670,0.020161522930487452,,,
2020-06,39399,0.019086778852255133,,,
2020-07,39217,0.019047861896626463,,,
2020-08,41953,0.01887826853860272,,,
2020-09,42996,0.01739696715973579,,,
2020-10,48610,0.018535280806418433,,,
2020-11,44599,0.017063162851185004,,,
2020-12,47415,0.01626067700094907,,,
2021-01,42206,0.019144197507463392,,,
2021-02,38864,0.01682791272128448,,,
2021-03,46406,0.02103176313407749,,,
2021-04,48316,0.019165493832270883,,,
2021-05,51199,0.019570694740131643,,,
2021-06,49846,0.01941981302411427,,,
2021-07,48975,0.019622256253190404,,,
2021-08,51360,0.018457943925233644,,,
2021-09,50754,0.01946644599440438,,,
2021-10,55454,0.017978865365888844,,,
2021-11,52313,0.016515971173513277,,,
2021-12,50505,0.01859221859221859,,,
2022-01,45482,0.017699309616991336,,,
2022-02,45336,0.015352038115404976,,,
2022-03,50619,0.017957683873644284,,,
2022-04,50091,0.018606136830967637,,,
2022-05,51572,0.01847901962305127,,,
2022-06,46050,0.02039087947882736,,,
2022-07,44213,0.02157736412367403,,,
2022-08,49039,0.016823344684842676,,,
2022-09,51411,0.01882865534613215,,,
2022-10,54591,0.018024949167445185,,,
2022-11,50980,0.01567281286779129,,,
2022-12,50489,0.01715225098536315,,,
2023-01,48766,0.017225115859410244,,,
2023-02,44618,0.016495584741584114,,,
2023-03,50861,0.016967814238807732,,,
2023-04,49564,0.018198692599467357,,,
2023-05,51906,0.018745424421068854,,,
2023-06,47556,0.020144671545125746,,,
2023-07,46307,0.02045047185090807,,,
2023-08,50133,0.017832565376099577,,,
2023-09,49866,0.01830906830305218,,,
2023-10,53331,0.015769439912996192,,,
2023-11,50108,0.015147281871158299,,,
2023-12,51651,0.016282356585545294,,,
2024-01,47742,0.013866197478111516,0.8916886598801893,0.8953332495496628,0.0014223067862526048
2024-02,45610,0.015742161806621354,0.896031572023679,0.8949133961850472,0.0014291649570526488
2024-03,49531,0.01760513617734348,0.8951767579899457,0.8930568734731784,0.0013763999386778916
2024-04,49648,0.01675797615211086,0.9016475990976475,0.8999556880438285,0.0013364724762928426
2024-05,52421,0.01743576047767116,0.9018523110966978,0.902481829801034,0.0012994366132449441
2024-06,46023,0.018599395954196813,0.899093931295222,0.900158616344002,0.001404021356953852
2024-07,45916,0.018337834306124227,0.9005575398553881,0.9009277811656068,0.001396560131193492
2024-08,50413,0.01920139646519747,0.9058179437843413,0.9065320453057744,0.001300868125508684
2024-09,49865,0.017988569136669005,0.9054848089842575,0.9063070289782412,0.0013100669208365246
2024-10,54355,0.0170361512280379,0.9019225462238984,0.9043326280930917,0.00127570266548148
2024-11,50891,0.01638796643807353,0.8943624609459433,0.8978797822797744,0.001362527970469679
2024-12,51270,0.015681685196021065,0.8976204408035888,0.90040959625512,0.0013388173624804777
2025-01,43350,0.015178777393310266,0.8951095732410611,0.8961707035755478,0.0014716735221456882
2025-02,42065,0.0170450493284203,0.9030547961488173,0.9010578866040652,0.0014426459777529329
2025-03,50806,0.016828721017202692,0.899795299767744,0.8982403653111837,0.0013321661825230822
2025-04,49178,0.016430111025255194,0.9037781121639757,0.9048558298426126,0.0013297880167043037
2025-05,51273,0.01720203615938213,0.9049207185068164,0.9056618493164044,0.0012953998634973023
2025-06,44684,0.01794825888461194,0.9000760898755706,0.9031644436487333,0.0014187252589699685
2025-07,45362,0.017613861822670957,0.8999162294431462,0.90115074291257,0.0014090836453015498
2025-08,49421,0.017927601626838794,0.9039881831610044,0.9052831792153133,0.0013252199229413953
2025-09,49250,0.016730964467005074,0.9050152284263959,0.9045076142131979,0.0013211490518147265
2025-10,54763,0.01574055475412231,0.9025254277523145,0.9052462429012289,0.001267452745789415
2025-11,50028,0.016790597265531303,0.8929399536259695,0.9008155432957544,0.001382350808002384
2025-12,47546,0.015038068396920876,0.8974256509485551,0.9005173936819081,0.0013914308598711076
