month,max_log10_M,end_log10_M,n,max_log10_M_matched,end_log10_M_matched,pooled_alarm,matched_alarm
2024-01,1.1681691049007226,-3655.061858071898,47742,1.0381113062453202,-3986.5683192100873,False,False
2024-02,0.15507740559326993,-3691.7481020315527,45610,0.14811434801664133,-3763.5976763464664,False,False
2024-03,2.49080805504825,-3943.7027030479944,49531,2.5355707648627224,-3892.3698567265847,True,True
2024-04,1.2002319599674505,-4265.963447894989,49648,1.165793006025715,-4261.552060424365,False,False
2024-05,1.459163021963518,-4518.950213919008,52421,1.4799986423247704,-4369.429444421282,False,False
2024-06,1.6796595612342256,-3977.4730999857757,46023,1.6914505012789371,-3844.191071250801,False,False
2024-07,1.5367611763780988,-3915.9449758121905,45916,1.5055141957698357,-3876.4277223810727,False,False
2024-08,1.5729152029155289,-4625.021224920968,50413,1.632754693936909,-4224.832995945793,False,False
2024-09,1.766319521545598,-4470.474255421956,49865,1.8845574200935242,-4211.329463811288,False,False
2024-10,0.8698438794997534,-4831.416159206116,54355,0.8394612963312128,-4923.787371631836,False,False
2024-11,3.363848131248414,-4069.4052546808234,50891,3.3947796686789435,-4378.988348656806,True,True
2024-12,0.6093686134992787,-4195.069458516354,51270,0.5413673456125953,-4429.004217132482,False,False
2025-01,1.832831491165782,-3483.553105373233,43350,1.566253715626882,-3780.080990082825,False,False
2025-02,1.08274641985208,-3613.0102812521495,42065,1.095016575031373,-3682.9031881594115,False,False
2025-03,0.7136939191100933,-4282.492241023606,50806,0.7429376027655189,-4232.77891460534,False,False
2025-04,0.33401744908745196,-4353.596662631679,49178,0.332133731041841,-4345.859412774519,False,False
2025-05,0.22684682588310684,-4556.684085472023,51273,0.24415687678822898,-4410.772437859046,False,False
2025-06,0.2216431986536578,-3902.6068396875335,44684,0.22212366727807323,-3772.0402038718235,False,False
2025-07,1.0996478805548393,-3912.7182903560183,45362,1.0643789007816873,-3875.655749590672,False,False
2025-08,2.6766979067115937,-4477.582902264459,49421,2.8299444748701537,-4085.074573915944,True,True
2025-09,0.5475389296957912,-4448.561826523365,49250,0.5652659474195573,-4194.513028336312,False,False
2025-10,0.4089025753624938,-4752.2467118105005,54763,0.40120050089590065,-4845.071954262938,False,False
2025-11,1.4978976466444371,-3999.956664920823,50028,1.3954980967695079,-4300.356130321996,False,False
2025-12,-0.005542554313207625,-3883.336471961217,47546,-0.02537103676466805,-4097.209904211465,False,False
