hour,speed_bin,n,cov_marg,cov_cc,w_marg,w_cc
6.000000,65,2574,0.841103,0.886558,3.885004,4.067211
6.000000,70,1899,0.707214,0.895208,3.873618,4.468141
6.000000,75,1397,0.569792,0.850394,4.073729,4.667860
6.000000,80,75,0.546667,0.840000,4.200000,4.773333
7.000000,15,168,0.982143,0.940476,2.946429,2.470238
7.000000,20,692,0.986994,0.926301,3.057803,2.671965
7.000000,25,306,0.990196,0.869281,3.186275,2.725490
7.000000,30,5892,0.980652,0.882553,3.150543,2.751527
7.000000,35,5780,0.961765,0.901038,3.175087,2.961765
7.000000,40,4716,0.948685,0.874046,3.226887,2.973494
7.000000,45,6412,0.960387,0.895352,3.308952,3.054741
7.000000,50,1970,0.930457,0.846701,3.537056,3.207614
7.000000,55,2995,0.779967,0.847746,3.704841,3.927212
7.000000,60,3437,0.847251,0.883619,3.559791,3.752109
7.000000,65,3344,0.889055,0.920455,3.639952,3.825658
7.000000,70,2286,0.764217,0.910324,3.713036,4.250219
7.000000,75,1651,0.620230,0.862508,4.067838,4.619624
7.000000,80,77,0.610390,0.870130,4.129870,4.688312
8.000000,15,208,0.966346,0.937500,2.822115,2.264423
8.000000,20,410,0.980488,0.921951,3.000000,2.614634
8.000000,25,255,0.988235,0.901961,3.035294,2.650980
8.000000,30,5802,0.980869,0.881420,3.142882,2.728714
8.000000,35,5767,0.964626,0.900988,3.147564,2.943645
8.000000,40,4492,0.949020,0.869991,3.204363,2.954586
8.000000,45,6051,0.962816,0.900017,3.274665,3.027764
8.000000,50,1716,0.925408,0.844406,3.515734,3.201049
8.000000,55,2497,0.818983,0.868242,3.678815,3.872247
8.000000,60,2915,0.858662,0.906690,3.501887,3.707376
8.000000,65,2842,0.902182,0.935961,3.592540,3.796974
8.000000,70,2029,0.783637,0.916215,3.659931,4.209463
8.000000,75,1248,0.655449,0.866987,4.050481,4.621795
8.000000,80,59,0.694915,0.915254,4.135593,4.559322
9.000000,15,195,0.984615,0.958974,2.830769,2.287179
9.000000,20,256,0.968750,0.914062,3.031250,2.554688
9.000000,25,192,0.973958,0.854167,3.130208,2.656250
9.000000,30,4467,0.980076,0.873293,3.157152,2.724200
9.000000,35,4668,0.960583,0.894173,3.187232,2.962082
9.000000,40,3807,0.945626,0.866562,3.203835,2.937746
9.000000,45,4871,0.958530,0.888729,3.291111,3.021761
9.000000,50,1401,0.911492,0.827266,3.521056,3.186296
9.000000,55,1957,0.808891,0.872764,3.692386,3.909044
9.000000,60,2158,0.858665,0.897127,3.494903,3.699722
9.000000,65,2052,0.873782,0.907895,3.616472,3.799708
9.000000,70,1507,0.769741,0.910418,3.649635,4.222296
9.000000,75,1083,0.630656,0.861496,4.048938,4.624192
9.000000,80,60,0.583333,0.816667,4.133333,4.633333
10.000000,15,290,0.989655,0.965517,2.868966,2.300000
10.000000,20,302,0.973510,0.903974,3.033113,2.566225
10.000000,25,213,0.976526,0.868545,3.131455,2.605634
10.000000,30,4906,0.979005,0.885650,3.183041,2.761924
10.000000,35,5164,0.961077,0.902014,3.179899,2.955655
10.000000,40,4206,0.945554,0.862102,3.238469,2.970756
10.000000,45,5409,0.960251,0.898502,3.291921,3.041228
10.000000,50,1425,0.917193,0.837193,3.537544,3.216842
10.000000,55,2001,0.799100,0.861069,3.717641,3.923038
10.000000,60,2126,0.829257,0.874412,3.541863,3.753998
10.000000,65,1927,0.893098,0.927867,3.625843,3.835496
10.000000,70,1429,0.761372,0.918125,3.670399,4.248425
10.000000,75,1137,0.671944,0.866315,4.087951,4.627089
10.000000,80,49,0.632653,0.816327,4.163265,4.632653
