delta,eps_tot,floor,floor_unstructured,coverage,avg_width
0.000000,0.132641,0.900000,0.767359,0.987440,4.420782
0.010000,0.133090,0.890000,0.766910,0.987449,4.421088
0.020000,0.134301,0.880000,0.765699,0.987479,4.421804
0.050000,0.135743,0.850000,0.764257,0.987532,4.423061
0.100000,0.138425,0.800000,0.761575,0.987656,4.425603
