month,p05,p25,p50,p75,p95,n,dev_p05,se_p05,dev_p25,se_p25,dev_p50,se_p50,dev_p75,se_p75,dev_p95,se_p95
2024-01,0.047622102610346745,0.23465422141709874,0.48356952506576123,0.7360520491819789,0.9441107995885443,47742,-0.002377897389653258,0.000997462324065908,-0.01534577858290126,0.0019817566847678903,-0.01643047493423877,0.0022883355108381637,-0.013947950818021138,0.0019817566847678903,-0.005889200411455686,0.0009974623240659084
2024-02,0.04908990438374569,0.2443252222139264,0.4940316055661088,0.7477040723067638,0.9500773661512302,45610,-0.0009100956162543111,0.00102050883439523,-0.005674777786073587,0.0020275454577408213,-0.005968394433891189,0.0023412078316417326,-0.002295927693236166,0.0020275454577408213,7.736615123021817e-05,0.0010205088343952305
2024-03,0.04733673446440714,0.23982703409573575,0.49488003230623745,0.7474029459772371,0.9470736449338044,49531,-0.0026632655355928597,0.0009792830932027856,-0.010172965904264253,0.001945638215510749,-0.0051199676937625505,0.002246629494941508,-0.00259705402276289,0.001945638215510749,-0.0029263550661955406,0.000979283093202786
2024-04,0.04955884490420742,0.2537383343711057,0.5107725869204746,0.7589534697033354,0.9524902612148037,49648,-0.00044115509579258083,0.0009781285280258724,0.0037383343711057115,0.0019433443271080059,0.010772586920474558,0.002243980740767879,0.008953469703335437,0.0019433443271080059,0.0024902612148037795,0.0009781285280258728
2024-05,0.05048339109536812,0.2520720566167409,0.5061640794868334,0.7566962973929013,0.9494872155339897,52421,0.00048339109536811586,0.0009519061969314169,0.002072056616740925,0.001891245838089587,0.006164079486833396,0.002183822587449565,0.00669629739290134,0.001891245838089587,-0.0005127844660102188,0.0009519061969314173
2024-06,0.049152314371615984,0.2541394992941754,0.5146029828895274,0.7603278127793458,0.95214302977803,46023,-0.0008476856283840192,0.0010159196077089516,0.004139499294175397,0.0020184275888809984,0.014602982889527438,0.0023306794235604237,0.010327812779345802,0.0020184275888809984,0.002143029778030048,0.001015919607708952
2024-07,0.049049010841857525,0.25074645726393846,0.5082012284502851,0.754522761935845,0.9514520172399729,45916,-0.0009509891581424776,0.0010171026391432374,0.0007464572639384603,0.0020207780340022034,0.008201228450285147,0.0023333934838073098,0.004522761935844999,0.0020207780340022034,0.0014520172399729026,0.0010171026391432379
2024-08,0.05280182078663032,0.26518699187016403,0.5201681537647966,0.762990684808778,0.9537315136504246,50413,0.00280182078663032,0.0009706787755092049,0.015186991870164035,0.0019285431697173266,0.020168153764796637,0.002226889836360225,0.012990684808777964,0.0019285431697173266,0.003731513650424678,0.0009706787755092052
2024-09,0.051979749245767266,0.2614445084731361,0.5155883145066694,0.7582248334867381,0.9524462912733679,49865,0.0019797492457672636,0.0009759979222567401,0.011444508473136106,0.001939111242685958,0.01558831450666942,0.0022390927959067353,0.008224833486738081,0.001939111242685958,0.0024462912733679287,0.0009759979222567405
2024-10,0.051116110116006246,0.2620216967578479,0.51397194369864,0.7597157763075717,0.9511786551407834,54355,0.0011161101160062428,0.0009348179754511389,0.012021696757847922,0.001857294984676604,0.013971943698639966,0.002144619518735158,0.0097157763075717,0.001857294984676604,0.0011786551407834134,0.0009348179754511392
2024-11,0.047484055096916944,0.2428610062478974,0.4941708192367379,0.7433402391661805,0.9448836888635987,50891,-0.002515944903083059,0.0009661094104995286,-0.0071389937521026126,0.0019194647620074908,-0.0058291807632621095,0.002216406994090052,-0.0066597608338194725,0.0019194647620074908,-0.005116311136401208,0.0009661094104995289
2024-12,0.049611738522422795,0.24832289503004576,0.493810469246424,0.7410868558255562,0.944837394236373,51270,-0.0003882614775772078,0.0009625319318932645,-0.0016771049699542406,0.0019123570327514337,-0.006189530753575978,0.0022081996952914283,-0.008913144174443777,0.0019123570327514337,-0.005162605763626926,0.0009625319318932649
2025-01,0.04905823260109982,0.24216671383056257,0.4912481356458041,0.7437426393809674,0.9459022794724619,43350,-0.0009417673989001799,0.0010467723776501287,-0.007833286169437431,0.0020797258270192575,-0.008751864354195893,0.0024014605321403706,-0.0062573606190325926,0.0020797258270192575,-0.004097720527538096,0.001046772377650129
2025-02,0.051190542380015705,0.25418618012888905,0.5015652916045455,0.7524350147674638,0.9500786966380179,42065,0.0011905423800157022,0.0010626404858144643,0.00418618012888905,0.0021112525610828634,0.001565291604545549,0.0024378644689369558,0.0024350147674637723,0.0021112525610828634,7.869663801796101e-05,0.0010626404858144647
2025-03,0.048716662489369025,0.2503154849660339,0.5049467873332318,0.7550254034191144,0.9503971504877686,50806,-0.0012833375106309775,0.0009669172381337244,0.00031548496603389653,0.0019210697527681266,0.004946787333231839,0.002218260277785451,0.005025403419114394,0.0019210697527681266,0.00039715048776867157,0.0009669172381337248
2025-04,0.05341156127213962,0.2571213076925377,0.5089979867067704,0.7565912265913984,0.952090265894661,49178,0.003411561272139617,0.0009827914588601404,0.007121307692537715,0.001952608631261122,0.008997986706770433,0.002254678237761191,0.006591226591398436,0.001952608631261122,0.002090265894660992,0.0009827914588601409
2025-05,0.05170079943592666,0.26153296216728555,0.5131450784624224,0.7611182276180892,0.9515700147847257,51273,0.0017007994359266587,0.0009625037724522774,0.011532962167285554,0.0019123010856153173,0.01314507846242241,0.002208135093103234,0.011118227618089227,0.0019123010856153173,0.0015700147847257373,0.0009625037724522778
2025-06,0.049533453394614485,0.25857221059251073,0.5149986790582423,0.7584401537649688,0.9501794637581438,44684,-0.00046654660538551773,0.00103102876801409,0.008572210592510732,0.0020484464464493564,0.014998679058242259,0.0023653422145561366,0.00844015376496876,0.0020484464464493564,0.00017946375814381632,0.0010310287680140905
2025-07,0.04798325033404295,0.25597139563326166,0.5138897696584522,0.7588593974036933,0.9525255358384775,45362,-0.0020167496659570516,0.0010232946597495407,0.005971395633261656,0.0020330803314751963,0.013889769658452233,0.0023475989533226767,0.008859397403693348,0.0020330803314751963,0.0025255358384775883,0.0010232946597495411
2025-08,0.05049575387332875,0.26384364178401815,0.5206237646902147,0.7667836714711976,0.9532287425925242,49421,0.0004957538733287442,0.0009803723190999348,0.013843641784018146,0.0019478022879281399,0.020623764690214652,0.002249128350526961,0.016783671471197636,0.0019478022879281399,0.0032287425925242585,0.0009803723190999352
2025-09,0.051771323148252085,0.2620258508836254,0.5188475281548044,0.7631829328573827,0.9539339003792038,49250,0.0017713231482520825,0.0009820728104759555,0.0120258508836254,0.0019511808217038142,0.018847528154804394,0.0022530295452966647,0.013182932857382701,0.0019511808217038142,0.003933900379203825,0.000982072810475956
2025-10,0.05139526123888615,0.25541363355295954,0.5090148169191457,0.7559217346115823,0.950951052860386,54763,0.0013952612388861488,0.0009313291345537778,0.00541363355295954,0.001850363360690794,0.00901481691914574,0.002136615568786901,0.005921734611582297,0.001850363360690794,0.0009510528603859925,0.0009313291345537782
2025-11,0.04607430420063026,0.24306698923236386,0.49844004557104604,0.7489443935700931,0.946306006645148,50028,-0.003925695799369744,0.0009744066388080791,-0.0069330107676361385,0.0019359496830604376,-0.001559954428953958,0.0022354421413050287,-0.0010556064299068746,0.0019359496830604376,-0.0036939933548519877,0.0009744066388080795
2025-12,0.04913139817714191,0.24673407060107921,0.5006475171308735,0.7463590747438144,0.9459975271129717,47546,-0.0008686018228580908,0.0009995161408798553,-0.003265929398920786,0.001985837205006227,0.0006475171308735206,0.0022930472897542383,-0.0036409252561856453,0.001985837205006227,-0.004002472887028263,0.0009995161408798557
