month,speed_band,n,cov,se,deviation,beyond_2se
2024-01,<35,11401,0.9662310323655819,0.001691717764771302,0.06623103236558192,True
2024-01,35–44,11513,0.9488404412403371,0.0020533630190333126,0.04884044124033704,True
2024-01,45–54,8998,0.9309846632585019,0.002672213012981504,0.03098466325850191,True
2024-01,55–64,7054,0.7879217465267933,0.004867118105784042,-0.11207825347320677,True
2024-01,65–69,4138,0.8634606089898502,0.005337710341964442,-0.0365393910101498,True
2024-01,≥70,4638,0.6733505821474773,0.006886462582282875,-0.22664941785252268,True
2024-02,<35,11622,0.9688521769058682,0.0016113956015742102,0.0688521769058682,True
2024-02,35–44,11255,0.9458018658374056,0.0021341232705252133,0.04580186583740553,True
2024-02,45–54,8702,0.9310503332567226,0.0027160835559130896,0.031050333256722573,True
2024-02,55–64,6590,0.7918057663125948,0.0050015080388446966,-0.10819423368740522,True
2024-02,65–69,3392,0.8528891509433962,0.006081920294228182,-0.04711084905660379,True
2024-02,≥70,4049,0.6791800444554211,0.00733582998023244,-0.2208199555445789,True
2024-03,<35,11285,0.9646433318564466,0.0017384742714002947,0.06464333185644655,True
2024-03,35–44,12841,0.9491472626742465,0.0019387622033405867,0.04914726267424652,True
2024-03,45–54,10268,0.932021815348656,0.0024840188673658,0.032021815348656,True
2024-03,55–64,7036,0.7812677657760091,0.004928257961997358,-0.11873223422399093,True
2024-03,65–69,3633,0.8557665840902835,0.005828783274679162,-0.04423341590971652,True
2024-03,≥70,4468,0.69136078782453,0.0069106888664940015,-0.20863921217547,True
2024-04,<35,10887,0.9666574813998347,0.0017206058606622527,0.06665748139983463,True
2024-04,35–44,13561,0.9490450556743603,0.0018883857876513255,0.04904505567436024,True
2024-04,45–54,10820,0.9379852125693161,0.0023186329065872703,0.037985212569316085,True
2024-04,55–64,6667,0.799910004499775,0.004899683462759608,-0.10008999550022502,True
2024-04,65–69,3538,0.8501978518937253,0.005999846062869364,-0.0498021481062747,True
2024-04,≥70,4175,0.6900598802395209,0.007157379541271074,-0.2099401197604791,True
2024-05,<35,11107,0.9692086071846583,0.0016391734545502471,0.06920860718465827,True
2024-05,35–44,14182,0.9495134677760542,0.0018385252325928067,0.04951346777605414,True
2024-05,45–54,11562,0.9395433316035288,0.0022164810881253874,0.03954333160352874,True
2024-05,55–64,7068,0.803763440860215,0.004723955674555136,-0.09623655913978502,True
2024-05,65–69,3793,0.8618507777484841,0.005602718979552039,-0.03814922225151596,True
2024-05,≥70,4709,0.6863452962412402,0.006761341754162239,-0.21365470375875983,True
2024-06,<35,9679,0.9656989358404794,0.0018499476054448995,0.06569893584047937,True
2024-06,35–44,12345,0.947347104090725,0.002010111508237332,0.047347104090724956,True
2024-06,45–54,10192,0.9375981161695447,0.0023959486492480925,0.03759811616954467,True
2024-06,55–64,6382,0.7999059855844562,0.005007928527549507,-0.10009401441554377,True
2024-06,65–69,3422,0.8594389246054939,0.0059415539186790075,-0.04056107539450615,True
2024-06,≥70,4003,0.6832375718211342,0.007352921118952489,-0.21676242817886582,True
2024-07,<35,9514,0.9636325415177633,0.001919245942276131,0.06363254151776332,True
2024-07,35–44,12357,0.9478028647730031,0.0020009020038702875,0.047802864773003106,True
2024-07,45–54,10007,0.9355451184171081,0.0024547559763590148,0.03554511841710806,True
2024-07,55–64,6247,0.8194333279974387,0.00486675916805227,-0.08056667200256129,True
2024-07,65–69,3482,0.867892016082711,0.005738296645562609,-0.032107983917288974,True
2024-07,≥70,4309,0.6885588303550708,0.007054565821603494,-0.2114411696449292,True
2024-08,<35,11191,0.9661335001340363,0.0017098943602838644,0.0661335001340363,True
2024-08,35–44,13880,0.9503602305475505,0.0018435896951491987,0.050360230547550455,True
2024-08,45–54,11016,0.9407225853304285,0.002249901207781572,0.040722585330428496,True
2024-08,55–64,6858,0.8089822105570137,0.00474687344046573,-0.09101778944298633,True
2024-08,65–69,3451,0.8664155317299334,0.00579120072406815,-0.03358446827006667,True
2024-08,≥70,4017,0.687328852377396,0.007314342209550948,-0.21267114762260397,True
2024-09,<35,11071,0.9702827206214434,0.0016138391502559582,0.07028272062144336,True
2024-09,35–44,13781,0.9476090269211233,0.0018980273257753993,0.04760902692112323,True
2024-09,45–54,10793,0.9408876123413323,0.002270058439474335,0.04088761234133231,True
2024-09,55–64,6671,0.8088742317493629,0.0048139841042804206,-0.09112576825063712,True
2024-09,65–69,3540,0.8686440677966102,0.005677330061948787,-0.031355932203389836,True
2024-09,≥70,4009,0.6797206285856822,0.007369053012092396,-0.22027937141431786,True
2024-10,<35,12001,0.9639196733605533,0.001702342471888514,0.06391967336055326,True
2024-10,35–44,14950,0.9511705685618729,0.0017625824407495252,0.05117056856187285,True
2024-10,45–54,11861,0.9368518674648006,0.0022333411414937328,0.036851867464800625,True
2024-10,55–64,7418,0.802642221623079,0.0046210930127392,-0.09735777837692106,True
