hour,speed_bin,n,cov_marginal,cov_mondrian,cov_declared
9.000000,30,4467,0.980076,0.964182,0.873293
9.000000,35,4668,0.960583,0.930591,0.894173
9.000000,40,3807,0.945626,0.927239,0.866562
9.000000,45,4871,0.958530,0.948676,0.888729
9.000000,50,1401,0.911492,0.927909,0.827266
9.000000,55,1957,0.808891,0.859479,0.872764
9.000000,60,2158,0.858665,0.876274,0.897127
9.000000,65,2052,0.873782,0.885965,0.907895
9.000000,70,1507,0.769741,0.790312,0.910418
9.000000,75,1083,0.630656,0.713758,0.861496
9.000000,80,60,0.583333,0.683333,0.816667
10.000000,15,290,0.989655,0.982759,0.965517
10.000000,20,302,0.973510,0.963576,0.903974
10.000000,25,213,0.976526,0.957746,0.868545
10.000000,30,4906,0.979005,0.962903,0.885650
10.000000,35,5164,0.961077,0.939194,0.902014
10.000000,40,4206,0.945554,0.920114,0.862102
10.000000,45,5409,0.960251,0.955630,0.898502
10.000000,50,1425,0.917193,0.940351,0.837193
10.000000,55,2001,0.799100,0.843078,0.861069
10.000000,60,2126,0.829257,0.850894,0.874412
10.000000,65,1927,0.893098,0.905034,0.927867
10.000000,70,1429,0.761372,0.783765,0.918125
10.000000,75,1137,0.671944,0.715040,0.866315
10.000000,80,49,0.632653,0.632653,0.816327
11.000000,15,333,0.981982,0.972973,0.957958
11.000000,20,321,0.965732,0.956386,0.909657
11.000000,25,265,0.973585,0.966038,0.909434
11.000000,30,5829,0.981644,0.968091,0.893807
11.000000,35,6331,0.965724,0.939346,0.906018
11.000000,40,5109,0.951850,0.931493,0.872774
11.000000,45,6578,0.956370,0.951961,0.892521
11.000000,50,1699,0.922896,0.935845,0.828134
11.000000,55,2341,0.788552,0.848355,0.851346
11.000000,60,2288,0.834790,0.866696,0.883304
11.000000,65,2017,0.877541,0.894398,0.916708
11.000000,70,1513,0.749504,0.770654,0.900198
11.000000,75,1310,0.662595,0.725954,0.867939
11.000000,80,61,0.688525,0.721311,0.901639
12.000000,15,357,0.977591,0.969188,0.952381
12.000000,20,430,0.979070,0.972093,0.953488
12.000000,25,290,0.975862,0.962069,0.886207
12.000000,30,7184,0.980234,0.968402,0.893513
12.000000,35,7896,0.965299,0.941363,0.913374
12.000000,40,6519,0.960730,0.938794,0.894002
12.000000,45,8477,0.966616,0.961543,0.916480
12.000000,50,2104,0.934886,0.956749,0.863593
12.000000,55,2774,0.825162,0.867700,0.876712
12.000000,60,2683,0.855013,0.881476,0.890421
12.000000,65,2438,0.890894,0.917966,0.932732
12.000000,70,1701,0.762493,0.793651,0.902410
12.000000,75,1378,0.693033,0.753266,0.883890
12.000000,80,81,0.617284,0.703704,0.839506
13.000000,15,445,0.977528,0.973034,0.948315
13.000000,20,413,0.975787,0.963680,0.915254
13.000000,25,301,0.970100,0.946844,0.870432
13.000000,30,6944,0.977823,0.966734,0.886377
13.000000,35,7420,0.968059,0.945687,0.917925
13.000000,40,6282,0.956861,0.940942,0.900828
13.000000,45,8280,0.961957,0.957971,0.907971
13.000000,50,2107,0.943522,0.957285,0.869957
13.000000,55,2862,0.831586,0.868623,0.879804
13.000000,60,2824,0.871459,0.889518,0.908286
13.000000,65,2556,0.901017,0.918623,0.933490
13.000000,70,1729,0.769231,0.793522,0.909774
13.000000,75,1416,0.696328,0.771893,0.896186
13.000000,80,66,0.696970,0.681818,0.848485
14.000000,15,433,0.979215,0.974596,0.953811
14.000000,20,530,0.973585,0.966038,0.916981
14.000000,25,351,0.982906,0.971510,0.877493
14.000000,30,7365,0.979226,0.965377,0.891242
14.000000,35,8050,0.968199,0.948944,0.920745
14.000000,40,6466,0.961182,0.941850,0.897928
14.000000,45,8549,0.965961,0.961867,0.914025
14.000000,50,2146,0.934296,0.945946,0.859739
14.000000,55,2911,0.827551,0.882858,0.881828
14.000000,60,3019,0.875787,0.893342,0.906923
14.000000,65,2986,0.904555,0.923309,0.934360
14.000000,70,2001,0.785107,0.815092,0.912544
14.000000,75,1593,0.684244,0.751412,0.895166
14.000000,80,72,0.611111,0.666667,0.833333
15.000000,15,468,0.974359,0.967949,0.950855
15.000000,20,795,0.981132,0.974843,0.952201
15.000000,25,479,0.968685,0.964509,0.891441
15.000000,30,9007,0.981681,0.972688,0.905629
15.000000,35,9607,0.972312,0.952743,0.927657
15.000000,40,7408,0.969897,0.951809,0.919141
15.000000,45,10063,0.973765,0.970387,0.934811
15.000000,50,2469,0.948562,0.963143,0.893884
15.000000,55,3387,0.842338,0.894006,0.893711
15.000000,60,3620,0.885912,0.907735,0.918785
15.000000,65,3494,0.922725,0.939038,0.945049
15.000000,70,2283,0.794131,0.820412,0.915024
15.000000,75,1616,0.696782,0.766708,0.891089
15.000000,80,83,0.614458,0.686747,0.819277
16.000000,15,440,0.984091,0.979545,0.956818
16.000000,20,604,0.971854,0.966887,0.922185
16.000000,25,507,0.976331,0.966469,0.909270
16.000000,30,9659,0.981572,0.973600,0.908065
16.000000,35,10584,0.972978,0.954743,0.929327
16.000000,40,8289,0.966462,0.952588,0.914103
16.000000,45,11239,0.975354,0.971617,0.937539
16.000000,50,2901,0.950017,0.960014,0.887280
16.000000,55,3869,0.850090,0.900750,0.903593
16.000000,60,4086,0.881791,0.905042,0.913118
16.000000,65,4136,0.928917,0.940039,0.947050
16.000000,70,2640,0.817424,0.835985,0.920076
16.000000,75,1660,0.683735,0.737349,0.887349
16.000000,80,101,0.722772,0.762376,0.881188
17.000000,15,482,0.977178,0.977178,0.946058
17.000000,20,458,0.962882,0.956332,0.910480
17.000000,25,437,0.965675,0.949657,0.871854
17.000000,30,9233,0.980288,0.972923,0.907397
17.000000,35,10745,0.977571,0.958585,0.936715
17.000000,40,8664,0.969183,0.951870,0.919552
17.000000,45,12223,0.976520,0.970875,0.937086
17.000000,50,2906,0.953889,0.966277,0.896421
17.000000,55,4234,0.858999,0.909778,0.905291
17.000000,60,4399,0.888156,0.910434,0.919982
17.000000,65,4612,0.921075,0.938205,0.946661
17.000000,70,2857,0.814141,0.845292,0.937697
17.000000,75,1768,0.700792,0.775452,0.897059
17.000000,80,93,0.666667,0.731183,0.838710
18.000000,15,383,0.979112,0.966057,0.947781
18.000000,20,439,0.974943,0.963554,0.902050
18.000000,25,386,0.976684,0.948187,0.888601
18.000000,30,7584,0.978112,0.966508,0.892932
18.000000,35,8803,0.968874,0.950358,0.928206
18.000000,40,6981,0.967770,0.949577,0.915055
18.000000,45,9671,0.970737,0.965774,0.927308
18.000000,50,2456,0.938111,0.956433,0.873371
18.000000,55,3476,0.847814,0.898446,0.899597
18.000000,60,3709,0.871394,0.907253,0.910218
18.000000,65,3818,0.907805,0.930330,0.935568
18.000000,70,2531,0.806796,0.838799,0.933623
18.000000,75,1533,0.667319,0.750163,0.887149
18.000000,80,88,0.704545,0.784091,0.863636
19.000000,15,330,0.984848,0.966667,0.927273
19.000000,20,348,0.982759,0.979885,0.928161
19.000000,25,290,0.944828,0.931034,0.882759
19.000000,30,5701,0.971233,0.959305,0.878618
19.000000,35,6412,0.963350,0.938241,0.908297
19.000000,40,4896,0.957516,0.940155,0.897467
19.000000,45,6779,0.956778,0.954123,0.901608
19.000000,50,1595,0.927900,0.939812,0.849530
19.000000,55,2346,0.800938,0.854646,0.868713
19.000000,60,2445,0.842945,0.874438,0.890389
19.000000,65,2336,0.892551,0.911387,0.919949
19.000000,70,1716,0.788462,0.821678,0.926573
19.000000,75,1325,0.675472,0.763019,0.901887
19.000000,80,66,0.560606,0.757576,0.893939
20.000000,15,243,0.958848,0.950617,0.925926
20.000000,20,273,0.956044,0.941392,0.879121
20.000000,25,268,0.962687,0.932836,0.843284
20.000000,30,4494,0.962617,0.948821,0.865599
20.000000,35,4883,0.958018,0.925865,0.887774
20.000000,40,3770,0.938462,0.917241,0.869761
20.000000,45,5380,0.953717,0.946097,0.886617
20.000000,50,1256,0.912420,0.933917,0.810510
20.000000,55,1959,0.765697,0.832568,0.834609
20.000000,60,2005,0.818454,0.855362,0.867332
20.000000,65,1825,0.859178,0.883288,0.900822
20.000000,70,1430,0.723077,0.765734,0.894406
20.000000,75,1196,0.653010,0.739967,0.894649
20.000000,80,71,0.577465,0.718310,0.845070
21.000000,15,195,0.969231,0.958974,0.928205
21.000000,20,229,0.965066,0.947598,0.877729
21.000000,25,268,0.936567,0.925373,0.802239
21.000000,30,3961,0.948750,0.929563,0.816965
21.000000,35,4236,0.934608,0.897545,0.852691
21.000000,40,3165,0.901738,0.873302,0.780411
21.000000,45,4576,0.919143,0.909747,0.818400
21.000000,50,1154,0.867418,0.894281,0.723570
21.000000,55,1739,0.714779,0.791259,0.793560
21.000000,60,1813,0.779371,0.811362,0.844457
21.000000,65,1780,0.820225,0.853371,0.875843
21.000000,70,1384,0.677746,0.716040,0.880058
21.000000,75,1232,0.560877,0.664773,0.855519
21.000000,80,48,0.375000,0.395833,0.708333
22.000000,15,157,0.955414,0.949045,0.955414
22.000000,20,218,0.944954,0.926606,0.944954
22.000000,25,217,0.967742,0.944700,0.967742
22.000000,30,3259,0.926971,0.901810,0.924210
22.000000,35,3459,0.902284,0.867303,0.950853
22.000000,40,2560,0.909766,0.875391,0.956641
22.000000,45,3551,0.904816,0.897494,0.961138
22.000000,50,932,0.837983,0.866953,0.915236
22.000000,55,1408,0.625000,0.712358,0.888494
22.000000,60,1632,0.727941,0.770221,0.911152
22.000000,65,1585,0.784858,0.811987,0.942587
22.000000,70,1255,0.641434,0.685259,0.925100
22.000000,75,933,0.511254,0.650589,0.909968
22.000000,80,50,0.340000,0.460000,0.900000
23.000000,15,131,0.900763,0.870229,0.900763
23.000000,20,156,0.916667,0.884615,0.916667
23.000000,25,165,0.872727,0.836364,0.854545
